step 17361 | loss: 3.134872 | lr: 0.000142 | norm: 0.2553 | time: 1141.30ms | tok/sec: 459378.69
step 17362 | loss: 3.092812 | lr: 0.000142 | norm: 0.2613 | time: 1138.53ms | tok/sec: 460493.71
step 17363 | loss: 3.157963 | lr: 0.000142 | norm: 0.2366 | time: 1141.20ms | tok/sec: 459419.86
step 17364 | loss: 3.098807 | lr: 0.000142 | norm: 0.2145 | time: 1138.87ms | tok/sec: 460358.07
step 17365 | loss: 3.131031 | lr: 0.000142 | norm: 0.2276 | time: 1140.92ms | tok/sec: 459530.26
step 17366 | loss: 3.130698 | lr: 0.000142 | norm: 0.2195 | time: 1140.05ms | tok/sec: 459882.76
step 17367 | loss: 3.112576 | lr: 0.000142 | norm: 0.2177 | time: 1140.23ms | tok/sec: 459807.47
step 17368 | loss: 3.084712 | lr: 0.000142 | norm: 0.2694 | time: 1141.59ms | tok/sec: 459262.02
step 17369 | loss: 3.113466 | lr: 0.000142 | norm: 0.2292 | time: 1139.79ms | tok/sec: 459986.18
step 17370 | loss: 3.104147 | lr: 0.000142 | norm: 0.2316 | time: 1140.20ms | tok/sec: 459822.76
step 17371 | loss: 3.058163 | lr: 0.000142 | norm: 0.2336 | time: 1141.46ms | tok/sec: 459311.52
step 17372 | loss: 3.072663 | lr: 0.000142 | norm: 0.2228 | time: 1139.23ms | tok/sec: 460212.50
step 17373 | loss: 3.068743 | lr: 0.000141 | norm: 0.2319 | time: 1141.64ms | tok/sec: 459243.03
step 17374 | loss: 3.025417 | lr: 0.000141 | norm: 0.2115 | time: 1136.64ms | tok/sec: 461262.88
step 17375 | loss: 3.062874 | lr: 0.000141 | norm: 0.2258 | time: 1139.04ms | tok/sec: 460287.73
step 17376 | loss: 3.101919 | lr: 0.000141 | norm: 0.2254 | time: 1140.77ms | tok/sec: 459593.17
step 17377 | loss: 3.056005 | lr: 0.000141 | norm: 0.2015 | time: 1140.46ms | tok/sec: 459715.58
step 17378 | loss: 3.013586 | lr: 0.000141 | norm: 0.2261 | time: 1140.98ms | tok/sec: 459507.79
step 17379 | loss: 3.058970 | lr: 0.000141 | norm: 0.2083 | time: 1139.68ms | tok/sec: 460030.15
step 17380 | loss: 3.051068 | lr: 0.000141 | norm: 0.2184 | time: 1139.17ms | tok/sec: 460236.58
step 17381 | loss: 3.027315 | lr: 0.000141 | norm: 0.2086 | time: 1139.10ms | tok/sec: 460266.92
step 17382 | loss: 3.061541 | lr: 0.000141 | norm: 0.2112 | time: 1136.43ms | tok/sec: 461348.04
step 17383 | loss: 3.027325 | lr: 0.000141 | norm: 0.2106 | time: 1138.60ms | tok/sec: 460465.65
step 17384 | loss: 3.050736 | lr: 0.000141 | norm: 0.2120 | time: 1140.00ms | tok/sec: 459901.90
step 17385 | loss: 3.028715 | lr: 0.000141 | norm: 0.2125 | time: 1141.50ms | tok/sec: 459296.46
step 17386 | loss: 3.039874 | lr: 0.000141 | norm: 0.2209 | time: 1138.63ms | tok/sec: 460453.79
step 17387 | loss: 2.971127 | lr: 0.000141 | norm: 0.2034 | time: 1137.73ms | tok/sec: 460820.07
step 17388 | loss: 3.005347 | lr: 0.000141 | norm: 0.2025 | time: 1141.01ms | tok/sec: 459494.64
step 17389 | loss: 3.022276 | lr: 0.000141 | norm: 0.1936 | time: 1141.59ms | tok/sec: 459260.10
step 17390 | loss: 3.022061 | lr: 0.000141 | norm: 0.2048 | time: 1142.47ms | tok/sec: 458907.12
step 17391 | loss: 3.088079 | lr: 0.000141 | norm: 0.2176 | time: 1141.88ms | tok/sec: 459145.70
step 17392 | loss: 3.039138 | lr: 0.000141 | norm: 0.2168 | time: 1137.72ms | tok/sec: 460823.36
step 17393 | loss: 2.970149 | lr: 0.000141 | norm: 0.2068 | time: 1142.16ms | tok/sec: 459032.23
step 17394 | loss: 3.060156 | lr: 0.000141 | norm: 0.2261 | time: 1140.08ms | tok/sec: 459871.13
step 17395 | loss: 3.093151 | lr: 0.000141 | norm: 0.2131 | time: 1134.88ms | tok/sec: 461978.41
step 17396 | loss: 3.096573 | lr: 0.000141 | norm: 0.2166 | time: 1137.28ms | tok/sec: 461002.18
step 17397 | loss: 3.095486 | lr: 0.000141 | norm: 0.2133 | time: 1140.31ms | tok/sec: 459777.00
step 17398 | loss: 3.054669 | lr: 0.000141 | norm: 0.2204 | time: 1138.17ms | tok/sec: 460639.37
step 17399 | loss: 3.124239 | lr: 0.000141 | norm: 0.2306 | time: 1136.83ms | tok/sec: 461183.36
validation loss: 62.0593
step 17400 | loss: 3.133878 | lr: 0.000141 | norm: 0.2390 | time: 2326.03ms | tok/sec: 225400.47
step 17401 | loss: 3.112634 | lr: 0.000141 | norm: 0.2473 | time: 1139.02ms | tok/sec: 460296.50
step 17402 | loss: 3.090646 | lr: 0.000141 | norm: 0.2267 | time: 1140.05ms | tok/sec: 459881.13
step 17403 | loss: 3.096925 | lr: 0.000141 | norm: 0.2212 | time: 1138.40ms | tok/sec: 460546.95
step 17404 | loss: 3.110691 | lr: 0.000141 | norm: 0.2250 | time: 1139.89ms | tok/sec: 459945.29
step 17405 | loss: 3.115696 | lr: 0.000141 | norm: 0.2167 | time: 1140.11ms | tok/sec: 459858.63
step 17406 | loss: 3.113305 | lr: 0.000141 | norm: 0.2157 | time: 1137.77ms | tok/sec: 460804.14
step 17407 | loss: 3.045960 | lr: 0.000141 | norm: 0.2022 | time: 1138.69ms | tok/sec: 460430.75
step 17408 | loss: 3.062011 | lr: 0.000141 | norm: 0.1980 | time: 1139.33ms | tok/sec: 460173.69
step 17409 | loss: 3.095756 | lr: 0.000141 | norm: 0.2046 | time: 1141.26ms | tok/sec: 459393.85
step 17410 | loss: 3.012816 | lr: 0.000141 | norm: 0.1928 | time: 1140.79ms | tok/sec: 459582.32
step 17411 | loss: 3.052115 | lr: 0.000141 | norm: 0.2072 | time: 1139.78ms | tok/sec: 459989.83
step 17412 | loss: 3.051325 | lr: 0.000141 | norm: 0.2006 | time: 1138.36ms | tok/sec: 460563.93
step 17413 | loss: 3.101103 | lr: 0.000140 | norm: 0.2177 | time: 1139.24ms | tok/sec: 460208.07
step 17414 | loss: 3.055631 | lr: 0.000140 | norm: 0.1983 | time: 1140.16ms | tok/sec: 459835.84
step 17415 | loss: 3.048131 | lr: 0.000140 | norm: 0.2105 | time: 1143.13ms | tok/sec: 458644.00
step 17416 | loss: 3.078742 | lr: 0.000140 | norm: 0.2027 | time: 1141.43ms | tok/sec: 459327.35
step 17417 | loss: 3.068068 | lr: 0.000140 | norm: 0.2129 | time: 1140.15ms | tok/sec: 459841.51
step 17418 | loss: 2.978823 | lr: 0.000140 | norm: 0.2131 | time: 1139.79ms | tok/sec: 459986.47
step 17419 | loss: 3.043363 | lr: 0.000140 | norm: 0.2287 | time: 1137.88ms | tok/sec: 460760.40
step 17420 | loss: 3.031879 | lr: 0.000140 | norm: 0.1952 | time: 1139.55ms | tok/sec: 460081.55
step 17421 | loss: 2.988556 | lr: 0.000140 | norm: 0.2107 | time: 1139.66ms | tok/sec: 460039.58
step 17422 | loss: 3.024206 | lr: 0.000140 | norm: 0.1977 | time: 1141.49ms | tok/sec: 459302.98
step 17423 | loss: 3.015552 | lr: 0.000140 | norm: 0.2033 | time: 1138.84ms | tok/sec: 460372.14
step 17424 | loss: 3.033054 | lr: 0.000140 | norm: 0.2010 | time: 1140.02ms | tok/sec: 459891.90
step 17425 | loss: 2.971005 | lr: 0.000140 | norm: 0.1930 | time: 1141.42ms | tok/sec: 459328.50
step 17426 | loss: 3.046837 | lr: 0.000140 | norm: 0.2331 | time: 1141.62ms | tok/sec: 459250.42
step 17427 | loss: 3.020332 | lr: 0.000140 | norm: 0.2149 | time: 1139.54ms | tok/sec: 460088.96
step 17428 | loss: 3.046270 | lr: 0.000140 | norm: 0.2077 | time: 1139.90ms | tok/sec: 459942.69
step 17429 | loss: 3.045314 | lr: 0.000140 | norm: 0.2107 | time: 1141.70ms | tok/sec: 459215.99
step 17430 | loss: 3.070402 | lr: 0.000140 | norm: 0.2313 | time: 1140.34ms | tok/sec: 459765.46
step 17431 | loss: 3.074224 | lr: 0.000140 | norm: 0.2099 | time: 1140.41ms | tok/sec: 459736.91
step 17432 | loss: 3.160546 | lr: 0.000140 | norm: 0.2642 | time: 1137.20ms | tok/sec: 461034.46
step 17433 | loss: 3.132506 | lr: 0.000140 | norm: 0.2346 | time: 1142.82ms | tok/sec: 458766.19
step 17434 | loss: 3.095884 | lr: 0.000140 | norm: 0.2394 | time: 1140.71ms | tok/sec: 459615.84
step 17435 | loss: 3.120732 | lr: 0.000140 | norm: 0.2253 | time: 1137.27ms | tok/sec: 461005.37
step 17436 | loss: 3.130462 | lr: 0.000140 | norm: 0.2121 | time: 1142.64ms | tok/sec: 458837.79
step 17437 | loss: 3.105220 | lr: 0.000140 | norm: 0.2151 | time: 1135.74ms | tok/sec: 461625.41
step 17438 | loss: 3.051207 | lr: 0.000140 | norm: 0.1994 | time: 1136.85ms | tok/sec: 461178.04
step 17439 | loss: 3.088262 | lr: 0.000140 | norm: 0.2024 | time: 1139.91ms | tok/sec: 459937.11
step 17440 | loss: 3.180677 | lr: 0.000140 | norm: 0.2131 | time: 1143.43ms | tok/sec: 458522.55
step 17441 | loss: 3.093590 | lr: 0.000140 | norm: 0.2028 | time: 1141.83ms | tok/sec: 459162.87
step 17442 | loss: 3.055061 | lr: 0.000140 | norm: 0.2087 | time: 1139.97ms | tok/sec: 459912.00
step 17443 | loss: 3.048245 | lr: 0.000140 | norm: 0.2148 | time: 1140.25ms | tok/sec: 459801.61
step 17444 | loss: 3.082366 | lr: 0.000140 | norm: 0.2064 | time: 1140.58ms | tok/sec: 459667.72
step 17445 | loss: 3.090443 | lr: 0.000140 | norm: 0.2044 | time: 1141.84ms | tok/sec: 459158.84
step 17446 | loss: 3.073997 | lr: 0.000140 | norm: 0.2013 | time: 1141.13ms | tok/sec: 459446.25
step 17447 | loss: 3.065253 | lr: 0.000140 | norm: 0.2004 | time: 1140.29ms | tok/sec: 459786.61
step 17448 | loss: 3.032675 | lr: 0.000140 | norm: 0.2049 | time: 1140.88ms | tok/sec: 459546.88
step 17449 | loss: 3.094911 | lr: 0.000140 | norm: 0.2079 | time: 1138.58ms | tok/sec: 460476.07
step 17450 | loss: 3.074069 | lr: 0.000140 | norm: 0.1960 | time: 1135.64ms | tok/sec: 461668.15
step 17451 | loss: 3.061016 | lr: 0.000140 | norm: 0.1933 | time: 1137.31ms | tok/sec: 460990.48
step 17452 | loss: 3.044610 | lr: 0.000140 | norm: 0.2040 | time: 1138.15ms | tok/sec: 460647.38
step 17453 | loss: 3.040035 | lr: 0.000140 | norm: 0.1998 | time: 1139.42ms | tok/sec: 460135.75
step 17454 | loss: 2.978236 | lr: 0.000139 | norm: 0.1958 | time: 1139.58ms | tok/sec: 460069.32
step 17455 | loss: 2.988235 | lr: 0.000139 | norm: 0.1946 | time: 1138.52ms | tok/sec: 460500.46
step 17456 | loss: 3.072165 | lr: 0.000139 | norm: 0.2001 | time: 1140.09ms | tok/sec: 459863.53
